,total,max,mean,std,sedentary,low,moderate,high
2015-10-01,5097.0,118.0,3.5395833333333333,12.590844146594554,86.45833333333334,10.972222222222221,2.2222222222222223,0.3472222222222222
2015-10-02,8898.0,113.0,6.179166666666666,17.505717819003646,81.04166666666667,12.708333333333332,5.555555555555555,0.6944444444444444
2015-10-03,13208.0,121.0,9.172222222222222,26.262311899945338,83.68055555555556,7.5,4.444444444444445,4.375
2015-10-04,31017.0,124.0,21.539583333333333,40.01993721124467,70.20833333333333,9.86111111111111,8.26388888888889,11.666666666666666
2015-10-05,3176.0,117.0,2.2055555555555557,9.228741533694043,90.13888888888889,8.680555555555555,0.9722222222222222,0.20833333333333334
2015-10-06,6021.0,118.0,4.18125,14.944876562756336,87.77777777777777,8.194444444444445,3.6111111111111107,0.4166666666666667
2015-10-07,4822.0,110.0,3.348611111111111,12.330546971592131,88.33333333333333,8.75,2.7777777777777777,0.1388888888888889
2015-10-08,5803.0,119.0,4.029861111111111,12.87583608739341,84.02777777777779,12.777777777777777,2.986111111111111,0.20833333333333334
2015-10-09,4272.0,113.0,2.966666666666667,11.257810199123803,88.40277777777777,9.305555555555555,2.083333333333333,0.20833333333333334
2015-10-10,19.0,19.0,0.013194444444444444,0.5006939628599931,99.93055555555556,0.06944444444444445,0.0,0.0
2015-10-11,10134.0,110.0,7.0375,19.796672757271917,81.18055555555556,12.083333333333334,5.763888888888889,0.9722222222222222
2015-10-12,4061.0,118.0,2.8201388888888888,10.902576216337144,88.61111111111111,9.375,1.8055555555555554,0.20833333333333334
2015-10-13,3522.0,114.0,2.4458333333333333,10.224640657791207,90.90277777777777,7.152777777777778,1.875,0.06944444444444445
2015-10-14,3177.0,109.0,2.20625,9.730837042174159,90.27777777777779,8.055555555555555,1.4583333333333333,0.20833333333333334
2015-10-15,4568.0,115.0,3.172222222222222,12.158476622489777,88.68055555555556,8.680555555555555,2.2916666666666665,0.3472222222222222
2015-10-16,8503.0,113.0,5.904861111111111,16.867384591011184,82.70833333333333,11.25,5.694444444444445,0.3472222222222222
2015-10-17,11351.0,114.0,7.882638888888889,23.253612270998147,83.40277777777779,9.51388888888889,4.305555555555555,2.7777777777777777
2015-10-18,14536.0,116.0,10.094444444444445,27.636365488208902,80.83333333333333,9.930555555555555,3.8194444444444446,5.416666666666667
2015-10-19,3182.0,115.0,2.209722222222222,9.749633869531472,91.52777777777777,6.666666666666667,1.597222222222222,0.20833333333333334
2015-10-20,3044.0,123.0,2.113888888888889,10.255096606505983,92.5,5.486111111111111,1.8055555555555554,0.20833333333333334
2015-10-21,3338.0,119.0,2.3180555555555555,9.816677196752277,91.11111111111111,7.5,1.25,0.1388888888888889
